ID	Length	WT_03.Aligned.sortedByCoord.out	WT_04.Aligned.sortedByCoord.out	WT_05.Aligned.sortedByCoord.out	WT_08.Aligned.sortedByCoord.out	WT_09.Aligned.sortedByCoord.out	WT_10.Aligned.sortedByCoord.out	WT_13.Aligned.sortedByCoord.out	WT_14.Aligned.sortedByCoord.out	WT_15.Aligned.sortedByCoord.out	WT_18.Aligned.sortedByCoord.out	WT_19.Aligned.sortedByCoord.out	WT_20.Aligned.sortedByCoord.out	WT_23.Aligned.sortedByCoord.out	WT_24.Aligned.sortedByCoord.out	WT_25.Aligned.sortedByCoord.out	dBGLF5_02.Aligned.sortedByCoord.out	dBGLF5_03.Aligned.sortedByCoord.out	dBGLF5_04.Aligned.sortedByCoord.out	dBGLF5_06.Aligned.sortedByCoord.out	dBGLF5_07.Aligned.sortedByCoord.out	dBGLF5_08.Aligned.sortedByCoord.out	dBGLF5_10.Aligned.sortedByCoord.out	dBGLF5_11.Aligned.sortedByCoord.out	dBGLF5_12.Aligned.sortedByCoord.out
ENSG00000230138.2	4999	0.12	0.0	0.02	0.04	0.01	0.0	0.09	0.01	0.01	0.61	0.11	0.01	0.7	0.13	0.01	0.27	0.03	0.03	0.15	0.09	0.03	0.18	0.06	0.06
ENSG00000104892.17	7499	0.03	0.17	0.02	0.0	0.06	0.03	0.0	0.07	0.02	0.01	0.39	0.02	0.02	0.36	0.05	0.02	0.45	0.05	0.06	0.32	0.08	0.06	0.54	0.12
ENSG00000273226.1	6999	2.45	1.6	0.27	2.98	1.74	0.25	3.32	2.19	0.39	1.41	0.77	0.15	1.54	0.74	0.24	1.27	1.14	0.3	1.75	1.18	0.33	0.97	1.32	0.42
ENSG00000177842.12	4499	0.28	0.09	0.06	0.37	0.06	0.1	0.46	0.14	0.06	0.44	0.09	0.03	0.43	0.11	0.01	0.44	0.1	0.08	0.29	0.16	0.05	0.39	0.12	0.08
ENSG00000104894.12	7499	0.1	0.72	0.14	0.1	0.85	0.13	0.22	0.66	0.16	0.09	0.87	0.14	0.24	0.82	0.23	0.07	0.37	0.16	0.03	0.24	0.1	0.09	0.24	0.21
ENSG00000141522.12	6499	0.08	0.85	1.43	0.02	0.52	0.1	0.0	0.74	0.06	0.04	1.03	0.85	0.04	0.88	0.85	0.01	0.45	0.11	0.01	0.4	0.16	0.05	0.86	0.28
ENSG00000234884.2	7499	0.02	0.82	0.18	0.03	0.4	0.1	0.03	0.72	0.09	0.0	0.93	0.25	0.01	0.75	0.11	0.04	0.72	0.21	0.0	0.62	0.33	0.04	0.69	0.31
ENSG00000164466.13	5499	0.05	0.26	0.17	0.11	0.46	0.04	0.15	0.38	0.03	0.15	0.45	0.16	0.21	0.39	0.27	0.05	0.42	0.1	0.21	0.23	0.1	0.23	0.42	0.13
ENSG00000158402.21	10499	0.01	0.62	0.08	0.03	0.55	0.06	0.04	0.53	0.02	0.04	0.38	0.03	0.05	0.6	0.04	0.04	0.3	0.09	0.03	0.18	0.08	0.02	0.39	0.12
ENSG00000119878.6	3999	0.3	0.05	0.01	0.19	0.07	0.02	0.26	0.16	0.0	0.4	0.34	0.03	0.33	0.27	0.0	0.28	0.13	0.05	0.26	0.25	0.06	0.82	0.22	0.15
ENSG00000257342.1	4499	0.0	0.56	0.12	0.0	0.48	0.03	0.0	0.23	0.06	0.0	0.31	0.15	0.0	0.42	0.11	0.0	0.19	0.18	0.02	0.09	0.08	0.0	0.18	0.05
ENSG00000185065.6	5499	0.3	0.75	0.37	0.26	0.72	0.34	0.32	0.7	0.19	0.22	0.48	0.2	0.26	0.45	0.33	0.31	0.27	0.13	0.29	0.2	0.2	0.23	0.27	0.12
ENSG00000100376.12	4999	0.22	0.16	0.23	0.17	0.18	0.03	0.1	0.06	0.02	0.31	0.16	0.33	0.44	0.15	0.32	0.17	0.09	0.06	0.2	0.02	0.05	0.22	0.17	0.12
ENSG00000122643.23	7499	0.19	0.37	0.36	0.12	0.5	0.2	0.14	0.51	0.27	0.34	0.33	0.47	0.34	0.3	0.35	0.24	0.38	0.32	0.17	0.32	0.31	0.21	0.32	0.31
ENSG00000166801.17	12999	0.0	0.94	0.23	0.0	0.65	0.12	0.01	0.4	0.13	0.01	0.26	0.12	0.02	0.41	0.21	0.01	0.18	0.35	0.0	0.16	0.19	0.0	0.15	0.12
ENSG00000160633.13	5999	0.08	0.54	0.26	0.07	0.19	0.06	0.12	0.19	0.03	0.12	0.87	0.31	0.07	0.87	0.5	0.06	1.48	0.17	0.08	0.92	0.36	0.07	2.44	0.72
ENSG00000280758.1	10999	0.45	0.91	0.31	0.24	0.91	0.17	0.2	0.72	0.21	0.1	0.32	0.15	0.13	0.35	0.1	0.21	0.33	0.12	0.09	0.34	0.15	0.13	0.41	0.19
ENSG00000227759.2	4999	0.05	1.04	0.98	0.12	2.62	0.9	0.05	1.8	1.18	0.0	0.38	0.28	0.03	0.47	0.31	0.06	1.92	1.38	0.0	1.32	1.99	0.04	0.92	1.11
ENSG00000144559.11	3999	0.16	0.13	0.06	0.13	0.13	0.02	0.04	0.17	0.04	0.27	0.17	0.02	0.22	0.26	0.12	0.16	0.24	0.23	0.12	0.16	0.15	0.3	0.49	0.24
ENSG00000243762.1	14999	0.03	0.61	0.2	0.0	0.68	0.17	0.02	0.82	0.2	0.03	0.9	0.16	0.02	0.83	0.23	0.03	0.38	0.29	0.03	0.35	0.25	0.05	0.37	0.23
ENSG00000186815.13	11499	0.08	1.88	0.36	0.05	1.49	0.2	0.04	1.03	0.19	0.08	1.15	0.21	0.04	1.08	0.19	0.08	0.98	0.25	0.02	0.62	0.32	0.07	1.09	0.38
