ID	Length	WT_09.Aligned.sortedByCoord.out
ENSG00000183048.12	6999	1.26
ENSG00000290164.1	6499	0.97
ENSG00000266978.1	3999	0.8
ENSG00000273361.1	4499	3.84
ENSG00000176884.17	8999	1.03
ENSG00000269821.2	4499	0.52
ENSG00000188986.9	9999	8.06
ENSG00000291136.1	6499	0.49
ENSG00000133818.14	20575	1.17
ENSG00000011454.18	18999	1.05
ENSG00000056558.11	25499	5.38
ENSG00000100138.15	5499	0.46
ENSG00000196812.6	6999	0.46
ENSG00000197111.16	9999	2.9
ENSG00000136868.11	7999	1.13
ENSG00000100316.16	4999	0.74
ENSG00000171848.16	7499	0.82
ENSG00000123595.8	3999	0.27
ENSG00000075651.17	8499	0.51
ENSG00000289236.1	18499	0.72
ENSG00000115677.18	8499	1.65
ENSG00000278637.2	7499	0.54
ENSG00000126767.18	6499	2.24
ENSG00000287238.1	3999	0.6
ENSG00000201469.1	6499	0.51
ENSG00000112679.15	8999	2.88
ENSG00000132432.14	16999	1.9
ENSG00000218233.1	8999	1.26
ENSG00000272195.1	3999	0.71
ENSG00000288904.2	6999	0.65
ENSG00000164776.11	4999	1.32
ENSG00000275638.1	13499	0.82
ENSG00000107223.13	3999	0.6
ENSG00000106665.16	4999	0.95
ENSG00000288771.2	9499	3.05
ENSG00000148399.13	86499	3.85
ENSG00000160049.12	6999	0.49
ENSG00000108306.13	9999	0.7
ENSG00000160392.14	4999	0.97
ENSG00000224950.2	5999	1.35
ENSG00000233791.7	7999	0.58
ENSG00000068724.18	6499	1.33
ENSG00000180098.9	12499	3.15
ENSG00000253824.2	6499	0.97
ENSG00000166987.15	15499	0.82
ENSG00000273262.1	4499	0.57
ENSG00000172943.21	6499	1.39
ENSG00000196189.14	5499	0.53
ENSG00000126266.4	4999	4.48
ENSG00000197081.16	7999	0.66
ENSG00000170312.17	4499	0.54
ENSG00000070610.14	4499	3.49
ENSG00000068001.14	15999	1.05
ENSG00000126464.15	15499	1.31
ENSG00000041880.15	6499	0.59
ENSG00000168066.22	4499	0.58
ENSG00000137713.16	11999	0.66
ENSG00000152705.8	6499	0.34
ENSG00000287600.1	3999	0.54
ENSG00000171262.11	31499	0.96
ENSG00000155827.12	14499	0.8
ENSG00000105948.13	13499	1.71
ENSG00000173535.15	4499	1.24
ENSG00000196152.10	4499	6.95
ENSG00000131323.17	5499	0.33
ENSG00000162676.13	4499	1.06
ENSG00000266933.2	13999	27.27
ENSG00000267213.4	4999	0.97
ENSG00000235173.7	5499	0.98
ENSG00000279277.2	4999	0.7
ENSG00000230438.9	13999	1.24
ENSG00000029363.17	10999	0.85
ENSG00000129810.15	4499	0.57
ENSG00000289071.2	5499	0.35
ENSG00000076258.10	3999	0.92
ENSG00000235629.1	4999	0.75
ENSG00000289268.1	3999	0.91
ENSG00000214087.9	16499	1.83
ENSG00000060558.4	8499	1.11
ENSG00000155229.21	11499	0.81
ENSG00000183648.11	5999	0.48
ENSG00000135747.11	4499	0.81
ENSG00000260947.1	3999	0.59
ENSG00000203472.3	7499	0.78
ENSG00000136827.12	5999	0.69
ENSG00000259547.1	5999	0.52
ENSG00000115282.21	7499	5.78
ENSG00000201659.1	11999	1.36
ENSG00000241859.8	3999	1.05
ENSG00000127191.18	10999	2.8
ENSG00000253351.2	21499	1.97
ENSG00000242444.4	5499	0.91
ENSG00000276043.5	4499	0.61
ENSG00000171206.16	9999	1.2
ENSG00000136937.13	19499	3.14
ENSG00000289257.2	28999	0.93
ENSG00000258441.1	6499	3.77
ENSG00000170734.12	7999	0.85
ENSG00000141580.16	9999	4.46
ENSG00000115808.13	3999	0.51
ENSG00000160305.18	3999	0.82
ENSG00000229809.9	8999	0.94
ENSG00000077348.10	5499	0.82
ENSG00000233223.5	7999	10.24
ENSG00000245479.3	7999	0.47
ENSG00000278276.1	6499	0.66
ENSG00000223389.1	11566	0.59
ENSG00000136867.11	11999	0.62
ENSG00000265565.1	3999	0.77
ENSG00000174173.7	4499	0.41
ENSG00000122515.16	5499	0.67
ENSG00000291101.1	10999	1.43
ENSG00000269910.1	8499	1.01
ENSG00000290078.1	10499	0.65
ENSG00000164050.13	6499	0.84
ENSG00000125733.18	4499	0.65
ENSG00000237522.1	6499	1.02
ENSG00000162244.12	9999	1.21
ENSG00000202279.1	8499	2.04
ENSG00000162241.13	3999	1.11
ENSG00000260105.7	6499	0.53
ENSG00000151657.12	4499	0.75
ENSG00000089280.19	20857	1.35
ENSG00000077150.21	6499	0.97
ENSG00000235098.9	5999	1.97
ENSG00000115839.19	13999	1.94
ENSG00000100297.16	17499	0.75
ENSG00000117362.13	8999	0.66
ENSG00000272764.1	8999	1.34
ENSG00000086061.16	12499	2.91
ENSG00000234684.8	5499	0.89
ENSG00000261766.1	8999	1.42
ENSG00000267106.9	14999	3.72
ENSG00000092871.17	10499	0.76
ENSG00000131508.17	10499	2.27
ENSG00000031003.11	6499	0.75
ENSG00000271991.3	5499	2.08
ENSG00000280277.1	6999	0.48
ENSG00000144357.18	14499	1.09
ENSG00000286722.1	15499	1.11
ENSG00000265678.1	21136	7.4
ENSG00000171824.14	6499	1.32
ENSG00000100060.18	4499	0.44
ENSG00000119231.11	7499	2.33
ENSG00000178999.13	4999	0.77
ENSG00000289393.1	21499	0.83
ENSG00000290537.1	9499	0.67
ENSG00000130244.13	5499	0.3
ENSG00000278002.1	3999	0.62
ENSG00000260296.1	7999	0.62
ENSG00000290100.1	3999	0.46
ENSG00000151694.15	13499	1.5
ENSG00000256262.3	4999	0.39
ENSG00000069329.19	5999	0.78
ENSG00000147912.13	6999	0.69
ENSG00000291283.1	6499	1.44
ENSG00000166848.7	6499	0.74
ENSG00000293220.1	4499	0.28
ENSG00000197815.4	9999	1.38
ENSG00000104442.10	9499	1.29
ENSG00000280046.1	10499	0.61
ENSG00000148153.14	7499	0.44
ENSG00000259661.1	11499	0.88
ENSG00000273253.2	6499	0.96
ENSG00000252026.1	4499	0.75
ENSG00000149634.5	4499	0.95
ENSG00000198355.5	6999	0.82
ENSG00000101367.9	8499	0.93
ENSG00000145414.9	6499	1.48
ENSG00000226779.1	5499	0.95
ENSG00000169495.5	7999	6.59
ENSG00000213188.3	15999	0.56
ENSG00000131495.9	6999	1.45
ENSG00000271002.1	10999	1.38
ENSG00000205138.4	8499	0.67
ENSG00000128891.17	4999	1.84
ENSG00000289972.1	6999	0.5
ENSG00000290165.1	4999	0.44
ENSG00000165802.23	5499	3.06
ENSG00000163521.16	4999	1.27
ENSG00000196743.9	3999	0.63
ENSG00000283108.2	6499	0.51
ENSG00000108788.12	4499	0.63
ENSG00000118514.14	4999	0.69
ENSG00000166377.21	12499	0.92
ENSG00000137054.16	12601	1.72
ENSG00000145494.12	14499	2.85
ENSG00000106266.11	4499	1.64
ENSG00000100983.12	4999	0.61
ENSG00000243762.1	14999	0.68
ENSG00000271976.1	3999	0.56
ENSG00000105640.13	7499	1.67
ENSG00000128272.18	4499	0.49
ENSG00000260920.2	7999	0.72
ENSG00000167104.11	8499	0.84
ENSG00000061656.11	15499	0.82
ENSG00000235381.1	6499	0.58
ENSG00000166391.15	7999	0.61
ENSG00000182400.15	9999	1.01
ENSG00000104129.10	4999	0.74
ENSG00000213339.9	4499	0.74
ENSG00000270804.2	5499	1.89
ENSG00000272345.1	5499	1.2
ENSG00000172795.17	6999	2.0
ENSG00000182938.7	7999	0.66
ENSG00000092203.15	10499	1.32
ENSG00000261236.8	6999	0.57
ENSG00000277895.1	5499	2.53
ENSG00000257056.3	4999	0.63
ENSG00000289985.1	3999	0.99
ENSG00000137076.22	3999	1.92
ENSG00000112812.16	8499	0.86
ENSG00000272455.1	5999	0.71
ENSG00000288989.2	3999	0.61
ENSG00000261253.2	4999	0.41
ENSG00000028116.18	3999	0.89
ENSG00000271361.1	3999	1.44
ENSG00000139133.7	7499	0.76
ENSG00000188868.14	35499	0.98
ENSG00000109674.4	9999	1.32
ENSG00000271843.1	4499	0.38
ENSG00000232006.9	4499	0.44
ENSG00000114993.17	11999	0.74
ENSG00000164070.12	24499	1.32
ENSG00000130255.13	28499	1.28
ENSG00000267579.1	6499	0.74
ENSG00000079263.19	4499	0.49
ENSG00000225611.3	4499	0.48
ENSG00000263142.6	5999	0.57
ENSG00000273456.2	5499	5.53
ENSG00000079387.15	6499	1.87
ENSG00000125835.20	4999	0.52
ENSG00000146918.20	5499	0.59
ENSG00000128590.5	5999	0.79
ENSG00000263529.2	14499	0.79
ENSG00000215795.2	7499	0.56
ENSG00000145386.11	4499	0.59
ENSG00000100664.11	8499	0.63
